Name	Type	unit	Description
zooniverse_id	String	-	unique ID given by Zooniverse
survey_id	String	-	unique ID given by target survey
imaging	String	-	survey source of image
RA	Double	J2000 degrees	right ascension
DEC	Double	J2000 degrees	declination
Z_BEST	Double	-	best redshift as selected from 4 source catalogs; see GZH paper Section 2.6
Z_BEST_TYPE	String	-	best redshift type: SPEC_Z = spectroscopic, PHOTO_Z = photometric, GRISM_Z = grism
GZ_MU_HI	Double	mag/arcsec2	mean surface brightness within r50 (see GZH paper Section 2.6)
Z_BEST_SOURCE	String	-	source catalog of best redshift ACS-GC, 3DHST, MUSYC, and UltraVISTA
NTOT_HI	Integer	-	ACS-GC measured Total number of objects simulaneously fitted 
NTOT_LOW	Integer	-	ACS-GC measured Total number of objects simulaneously fitted
Z_ORIGIN	String	-	ACS-GC measured source of ACS-GC spectroscopic redshift
MAGB	Float	mag	ACS-GC measured B-band magnitude
MAGB_ERR	Float	mag	ACS-GC measured error in B-band magnitude
MAGR	Float	mag	ACS-GC measured R-band magnitude
MAGR_ERR	Float	mag	ACS-GC measured error in R-band magnitude
MAGI	Float	mag	ACS-GC measured I-band magnitude
MAGI_ERR	Float	mag	ACS-GC measured error in I-band magnitude
CFHT_U	Float	mag	ACS-GC measured CFHTLS u-mag
CFHT_U_ERR	Float	mag	ACS-GC measured CFHTLS u-mag error
CFHT_G	Float	mag	ACS-GC measured CFHTLS g-mag
CFHT_G_ERR	Float	mag	ACS-GC measured CFHTLS g-mag error
CFHT_R	Float	mag	ACS-GC measured CFHTLS r-mag
CFHT_R_ERR	Float	mag	ACS-GC measured CFHTLS r-mag error
CFHT_I	Float	mag	ACS-GC measured CFHTLS I-mag
CFHT_I_ERR	Float	mag	ACS-GC measured CFHTLS I-mag error
CFHT_Z	Float	mag	ACS-GC measured CFHTLS z-mag
CFHT_Z_ERR	Float	mag	ACS-GC measured CFHTLS z-mag error
EBV	Float	mag	ACS-GC measured extinction
CLASS	String	-	ACS-GC Object classification, provided by DEEP2 survey and COMBO-17 survey
