subject_id,ferengi-18_Odd_x-6_dust_lane,ferengi-18_Odd_x-5_merger,ferengi-18_Odd_x-4_other,ferengi-18_Odd_x-3_irregular,ferengi-18_Odd_x-2_disturbed,ferengi-18_Odd_x-1_lens_or_arc,ferengi-18_Odd_x-0_ring,ferengi-18_Odd_a-0_done,ferengi-17_Odd_a-1_no,ferengi-17_Odd_a-0_yes,ferengi-16_Discuss_a-1_no,ferengi-16_Discuss_a-0_yes,ferengi-15_Bulge_a-2_dominant,ferengi-15_Bulge_a-1_obvious,ferengi-15_Bulge_a-0_no_bulge,ferengi-14_Spiral_a-5_can't_tell,ferengi-14_Spiral_a-4_more_than_4,ferengi-14_Spiral_a-3_4,ferengi-14_Spiral_a-2_3,ferengi-14_Spiral_a-1_2,ferengi-14_Spiral_a-0_1,ferengi-13_Spiral_a-2_loose,ferengi-13_Spiral_a-1_medium,ferengi-13_Spiral_a-0_tight,ferengi-12_Spiral_a-1_no_spiral,ferengi-12_Spiral_a-0_spiral,ferengi-11_Bar_a-1_no_bar,ferengi-11_Bar_a-0_bar,ferengi-10_Bulge_a-2_no_bulge,ferengi-10_Bulge_a-1_boxy,ferengi-10_Bulge_a-0_rounded,ferengi-9_Disk_a-1_no,ferengi-9_Disk_a-0_yes,ferengi-8_Clumps_a-1_no,ferengi-8_Clumps_a-0_yes,ferengi-7_Symmetry_a-1_no,ferengi-7_Symmetry_a-0_yes,ferengi-6_Clumps_a-1_no,ferengi-6_Clumps_a-0_yes,ferengi-5_Clumps_a-1_no,ferengi-5_Clumps_a-0_yes,ferengi-4_Clumps_a-3_spiral,_irregular,ferengi-4_Clumps_a-1_chain,ferengi-4_Clumps_a-0_straight_line,ferengi-3_Clumps_a-5_can't_tell,ferengi-3_Clumps_a-4_more_than_4,ferengi-3_Clumps_a-3_4,ferengi-3_Clumps_a-2_3,ferengi-3_Clumps_a-1_2,ferengi-3_Clumps_a-0_1,ferengi-2_Clumps_a-1_no,ferengi-2_Clumps_a-0_yes,ferengi-1_Round_a-2_cigar_shaped,ferengi-1_Round_a-1_in_between,ferengi-1_Round_a-0_completely_round,ferengi-0_Shape_a-2_star_or_artifact,ferengi-0_Shape_a-1_features_or_disk,ferengi-0_Shape_a-0_smooth
5249ce0c3ae74072a30040bf,,,0.111111111938953,0.111111111938953,0.222222223877907,,0.111111111938953,0.444444447755814,0.870967745780945,0.129032254219055,1,,,,1,0.5,0.5,,,,,,0.5,0.5,,1,0.5,0.5,,,1,0.666666686534882,0.333333343267441,0.333333343267441,0.666666686534882,,1,,1,0.666666686534882,0.333333343267441,,,0.333333343267441,0.666666686534882,0.666666686534882,0.333333343267441,,,,,0.5,0.5,0.280000001192093,0.720000028610229,,0.224999994039536,0.150000005960464,0.625
5249ce0c3ae74072a3003850,,,,,,,,1,0.964285731315613,0.0357142873108387,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,0.923076927661896,,0.300000011920929,0.0500000007450581,0.649999976158142
5249ce0c3ae74072a3003971,,,,,0.28571429848671,,0.28571429848671,0.428571432828903,0.903225779533386,0.0967741906642914,1,,,,0.25,,,,,,,,,,,0.25,1,,,,0.5,0.666666686534882,0.333333343267441,0.5,0.5,,0.5,,,1,,,,,,0.5,,,,,,0.75,0.25,0.173913046717644,0.695652186870575,,0.224999994039536,0.200000002980232,0.574999988079071
5249ce0c3ae74072a3004ad7,,,,0.222222223877907,0.111111111938953,,0.111111111938953,0.555555582046509,0.864864885807037,0.135135129094124,0.949999988079071,,,,,0.666666686534882,,,,,,,0.333333343267441,0.444444447755814,,0.692307710647583,0.538461565971375,0.461538463830948,,,0.666666686534882,0.8125,0.1875,0.5,0.5,,0.5,,1,,1,,,,,,0.5,,,,,0.888888895511627,0.111111111938953,,0.947368443012238,,0.0750000029802322,0.449999988079071,0.474999994039536
5249ce0c3ae74072a3004bf8,,,0.222222223877907,0.222222223877907,,,0.111111111938953,0.444444447755814,0.833333313465118,0.16666667163372,1,,,,1,,,,,,,,,,,,1,,,,,0.333333343267441,0.666666686534882,0.800000011920929,0.200000002980232,,,,,1,,,,0.25,0.25,0.400000005960464,0.200000002980232,,,,,0.375,0.625,0.375,0.5625,,0.400000005960464,0.200000002980232,0.400000005960464
5249ce0c3ae74072a3004950,,,0.222222223877907,0.222222223877907,,,,0.444444447755814,0.692307710647583,0.307692319154739,0.949999988079071,,,,1,,,,,,,,,,,,1,,,,,1,,1,,,,,,1,,,,,,1,,,,,,0.875,0.125,0.200000002980232,0.800000011920929,,0.675000011920929,0.200000002980232,0.125
5249ce0c3ae74072a3003740,,,0.25,0.125,0.0416666679084301,,0.0416666679084301,0.416666656732559,0.655172407627106,0.344827592372894,0.975000023841858,,,,0.333333343267441,0.5,,,,,,,0.75,,,0.666666686534882,0.833333313465118,0.16666667163372,,,,1,,0.25,0.75,,0.5,,0.636363625526428,0.214285716414452,0.785714268684387,,,0.0714285746216774,0.0714285746216774,0.125,0.3125,,,,,0.272727280855179,0.727272748947144,,,,0.275000005960464,0.550000011920929,0.174999997019768
5249ce0c3ae74072a3003861,,,0.16666667163372,,0.0833333358168602,,0.16666667163372,0.5,0.8125,0.1875,0.949999988079071,,,,0.333333343267441,,,,,,,,0.5,0.5,,0.333333343267441,0.833333313465118,0.16666667163372,,,0.25,0.600000023841858,0.400000005960464,0.363636374473572,0.636363625526428,,0.272727280855179,,1,0.600000023841858,0.400000005960464,,,,,0.0909090936183929,0.454545468091965,,,,,0.476190477609634,0.523809552192688,,0.909090936183929,,0.200000002980232,0.524999976158142,0.275000005960464
5249ce0c3ae74072a3003982,,,0.159999996423721,0.159999996423721,0.0799999982118607,,0.0799999982118607,0.400000005960464,0.705882370471954,0.294117659330368,0.925000011920929,,,,,,,,,,,,,,,,,,,,,,1,0.333333343267441,0.666666686534882,,0.333333343267441,,1,0.666666686534882,0.333333343267441,,,0.25,0.5,0.5,0.16666667163372,,,,,0.600000023841858,0.400000005960464,0.526315808296204,0.421052634716034,,0.150000005960464,0.375,0.474999994039536
5249ce0c3ae74072a3004ae8,,,0.333333343267441,,0.111111111938953,,,0.444444447755814,0.857142865657806,0.142857149243355,0.949999988079071,,,,0.400000005960464,1,,,,,,,,1,,0.200000002980232,0.600000023841858,0.400000005960464,,,1,0.833333313465118,0.16666667163372,0.333333343267441,0.666666686534882,,0.333333343267441,,1,0.5,0.5,,,,,0.333333343267441,,,,,,0.666666686534882,0.333333343267441,0.157894730567932,0.789473712444305,,0.300000011920929,0.224999994039536,0.474999994039536
